	0	P1	N1	N2	P9	N3	N4	N5	P2	P5
C.T.in.TCG	0.00863014927517597	0.0571386381013101	0.00985441682806861	0.00474916283533065	0.0127914506993983	0.00231915276994327	0.00388387426036148	0.0172673779020278	0.0431945259753439	0.00192087779232858
C.T.in.TCT	0.018638471452005	0.0159936436803287	0.00657702116270769	0.00521382972538095	0.0069498011665098	0.0097517481111814	0.01664420572613	0.0114880676725791	0.279830326244762	0.00183823628935407
T.A.in.ATA	0.0094815151418699	0.00481588454526363	0.0300126940990081	0.0387226054804349	0.00348642099573625	0.0113356269677053	0.00496304636806619	0.0596271601452086	0.00128090738445151	0.00128281646542773
T.A.in.ATC	0.00867675759631299	0.00406031873081192	0.00287418377593232	0.0266838384955678	0.000965087366508912	0.00320395904648557	0.00389501775185905	0.00619131046978287	0.00183435870431235	0.000902063232945803
T.A.in.ATG	0.00968489164213402	0.00433597151216041	0.0210202977460855	0.00509776370328193	0.00290044436286843	0.0106371514275075	0.00740739553367339	0.00303822743253829	0.00104637586413194	0.00240923683576104
T.A.in.ATT	0.0107741818356518	0.00782564407403178	0.0224602764911886	0.0443736408436713	0.00604506511263797	0.00452399859814838	0.00955379870931255	0.0127358978163458	0.000797721854147092	0.00167928632413995
T.A.in.CTA	0.00416260911428768	0.00257793822604233	0.059809434876276	0.00227365985095654	0.0016039648717089	0.0306421258178805	0.00791341920352842	0.112712142171355	0.00123871916017504	0.00114118227564296
T.A.in.CTC	0.00659473220057802	0.00300345513031385	0.0151758271342228	0.00156885320039062	0.00267388919412464	0.0174601428216319	0.00851487064393052	0.00345357638480383	0.000705482192123112	0.000703629098793756
T.A.in.CTG	0.00744962697117392	0.00375720550278717	0.0743312781000954	0.00144154867343599	0.00208907386798178	0.0360122746329814	0.00904452581877349	0.00727463364850671	0.000966672592679741	0.000886834329376577
T.A.in.CTT	0.00945812634318899	0.00488822580496359	0.0511268967868611	0.0026569210476504	0.00314734645757277	0.0196771255072155	0.0084273230738284	0.00874654238273358	0.000804110279383989	0.00177940265494843
T.A.in.GTA	0.00408209856927653	0.00170906903371838	0.0587173202480144	0.0035108994727066	0.00159812688398831	0.00577373852908466	0.00421350922137647	0.0474112837931092	0.00126173946679648	0.00121561098212083
T.A.in.GTC	0.00390336270311397	0.00152758738602562	0.00568816161116793	0.00308709057044778	0.0012599280032567	0.0025964554685362	0.0024501270148337	0.00167992677021173	0.000749676943973214	0.000765615845054627
T.A.in.GTG	0.00582486824446402	0.00182892585148633	0.0542471778240419	0.00172654147583686	0.00181959669270893	0.00901316269637212	0.00184891552554434	0.00399457070782662	0.000795151394023519	0.000647714420944518
T.A.in.GTT	0.00586216152779288	0.00258474853114172	0.0463930467055699	0.0109144920283712	0.00244089880931094	0.00397344151547797	0.0080594358851782	0.0016129426634077	0.0012501490962453	0.00108043627037061
T.A.in.TTA	0.0089919078099528	0.00669202129055583	0.0298378466387742	0.0141049803921916	0.00792560236404486	0.00721860409471052	0.00441790630454915	0.119901207659576	0.0011900930536224	0.0010728139733225
T.A.in.TTC	0.00677309489704502	0.0024172255249085	0.0037757429363967	0.00986912110089253	0.00238739831914144	0.00333411329764522	0.00368652565844292	0.00378080599766735	0.000933640715469266	0.000866340902517086
T.A.in.TTG	0.00473868948213651	0.00217212257981184	0.0183901916917051	0.00238599630770648	0.00121140809805027	0.00992461868120321	0.00447388835297667	0.00140022502115918	0.000615829904673564	0.000572362227208073
T.A.in.TTT	0.0116333110634436	0.00718084694079955	0.0275772452694599	0.0694260463110177	0.00526152212920729	0.0064952309299418	0.00914486340743243	0.017416732382528	0.000914903392126353	0.000891941603908956
T.C.in.ATA	0.028287704912623	0.0161032115126559	0.016123703356062	0.0896282266513759	0.00410366917010235	0.0158966588573119	0.0206184596121639	0.0280777147696795	0.000972142109835109	0.00266295357102724
T.C.in.ATC	0.00882134747279778	0.00634022846881364	0.00357193042728197	0.0410010745580512	0.00147178704605118	0.00358365025440843	0.00822303564868045	0.00204142767955086	0.00100491994235325	0.00103131740737865
T.C.in.ATG	0.0282470223968571	0.0104929368070666	0.00954603427534802	0.00942008005078481	0.00277575840915308	0.0147124716952315	0.0066333187994234	0.00518473380512354	0.000809767465741025	0.000910475071570517
T.C.in.ATT	0.0244665873808821	0.0173702625314931	0.0119293558732668	0.175614468630027	0.00779527636290661	0.0121359611592199	0.0118372106658106	0.00525778848766713	0.000989959329270802	0.00193507476095192
T.C.in.CTA	0.00985636197467092	0.00552126437166426	0.00930361012382772	0.00223773718762788	0.00185172420532517	0.00503143466167039	0.00309798433291221	0.0190461291124306	0.000927734576867792	0.000690467284192988
T.C.in.CTC	0.00973695727806184	0.00550132230886582	0.00529236296557931	0.00176366229323868	0.00223454218553824	0.00435071669301439	0.00565644637049879	0.00242297091902596	0.000752711246486673	0.000755209385370253
T.C.in.CTG	0.0132702662031328	0.00624618401878127	0.00764437425363175	0.00160493961881541	0.00322140028646399	0.00807479588485693	0.00401261222426472	0.00151027037749798	0.000888788462086557	0.000939025296746211
T.C.in.CTT	0.013409511987472	0.00645718135986382	0.0104546714223676	0.00284923058526531	0.00495829095738888	0.00453786411597377	0.0069040159737837	0.00397266905837756	0.000971865810004261	0.0011045665507774
T.C.in.GTA	0.0172403640373913	0.00838729423467789	0.0317104201479315	0.00824231146347408	0.00233034041335021	0.00512206536560291	0.00749603246049831	0.0145484972326476	0.000713180017404556	0.000624087283446452
T.C.in.GTC	0.0067059909938412	0.00582690418422207	0.00454759989191645	0.00279826444061361	0.00283451811021057	0.0017345774515302	0.00373951845445639	0.00475332334442107	0.00102382143110706	0.00113626194318785
T.C.in.GTG	0.0117960401480802	0.00566501904466332	0.0161104836177905	0.00186990622698674	0.00291655889342981	0.00729895651505197	0.00231067845403456	0.00193498954181322	0.00105120180280584	0.0011355444948177
T.C.in.GTT	0.0177161905284741	0.00947536764546288	0.0234655760864028	0.0242717366261382	0.004272670721735	0.0043706769276923	0.0218717575181421	0.0055170884382419	0.000814677583792073	0.000750849096260349
T.C.in.TTA	0.0153504307792235	0.00771086155722785	0.00811339279897192	0.01334994569709	0.00418657449198621	0.00770359676013135	0.00437683655802496	0.0318278007090274	0.00102263218183313	0.00100117977495738
T.C.in.TTC	0.00939464420390734	0.00620848923966942	0.00430527901643243	0.00657657654446702	0.00456599279728538	0.00274439087554888	0.00339166720316379	0.0091695255309317	0.000757792238064948	0.000899370547824306
T.C.in.TTG	0.00997358820916085	0.00502964535723177	0.00362087679723417	0.000930451835685154	0.00342844574491197	0.00862966559396811	0.000955837529539383	0.00177475818992825	0.000866904399114852	0.000994727088423398
T.C.in.TTT	0.0173221790132556	0.00974177375341677	0.0081540191672225	0.109304291616281	0.00240985484032491	0.00701951868056708	0.00954656203466587	0.00690850563039167	0.000877580642036605	0.00165437615231365
T.G.in.ATA	0.00596661333871283	0.00213580650201271	0.0059486488892007	0.00602298824702665	0.00135900385623164	0.00520417393625253	0.00339638598649837	0.0088733654858954	0.000946161057396079	0.000841584446142635
T.G.in.ATC	0.00450633403524285	0.00130285720754602	0.000678695035130886	0.00277426863887779	0.00210900987318964	0.00137179705270202	0.00404918140763139	0.00157950586781275	0.00117800859699282	0.0013506865051183
T.G.in.ATG	0.00667921130479955	0.00232998036823746	0.00434566748996548	0.0016120470888081	0.00286059194076485	0.00516346954736263	0.00319096778146049	0.00315818143371624	0.00113154000405642	0.00110107636667506
T.G.in.ATT	0.00767004071433623	0.00349850328266806	0.00220151066841851	0.00682391655112911	0.00210681533683119	0.00408432657730697	0.00126545771637291	0.00313480735896906	0.000769932801473748	0.000732885705123983
T.G.in.CTA	0.00332085321632356	0.00126167665435924	0.0059443327778056	0.00122040932136087	0.000525054049824089	0.0068313767347949	0.00139096853263335	0.0259323464903897	0.000663259484208356	0.000785591802551247
T.G.in.CTC	0.00459655415518376	0.001777033105149	0.00199252507954732	0.00106406815040663	0.00190082446201679	0.00331327659082174	0.00256581006943563	0.00170697375278628	0.000946106099807723	0.00112838301388958
T.G.in.CTG	0.0072031631629728	0.00228560254303031	0.0151909455773412	0.000969929665853383	0.00375888920202526	0.00893342620858236	0.00177919099417683	0.000772492627625371	0.000857167264898376	0.000830178700897409
T.G.in.CTT	0.00951068673519575	0.00301684279294182	0.00542855216391115	0.0035577036167924	0.00445404610092158	0.00440889200486759	0.00307253286161064	0.00290465111716692	0.000929325327096313	0.00110277929740929
T.G.in.GTA	0.00278613947760387	0.00104301513653666	0.00450794701491188	0.00323448591165695	0.000970886293075501	0.0123527522587847	0.0042675478042363	0.0100981729116576	0.000669831353311014	0.000594274449841596
T.G.in.GTC	0.00223565543176818	0.000839322859581752	0.000440358526564323	0.00251807082842795	0.000727516000648808	0.00131063118092596	0.00136454389546276	0.00139242846108315	0.000995393299174409	0.00122786601463371
T.G.in.GTG	0.00519755725337921	0.00140915856829076	0.010877246394731	0.00146010858609746	0.0036476631994847	0.0470172341885715	0.00151576013070516	0.00157809524027747	0.000920093152587985	0.00104809044092828
T.G.in.GTT	0.00399511549170804	0.00187628807943225	0.00578991971132311	0.0112266558209399	0.0017034988980015	0.0038021414032904	0.00203134998763312	0.00363709708939587	0.000898171174760512	0.00082383877505389
T.G.in.TTA	0.00805992592775377	0.00266370231758248	0.00435937659566256	0.0142815990354595	0.001939074440118	0.00696844076480118	0.00270179553148508	0.0283540832416796	0.000854365587963145	0.000876844573541551
T.G.in.TTC	0.00695362221120351	0.00211928521141094	0.000824914446496864	0.0100799576764673	0.00155885005850694	0.00305986086716453	0.00326255488963614	0.00134478801419859	0.000678075423063708	0.000604646062166992
T.G.in.TTG	0.00819320201403584	0.00262377230177401	0.00924607153460784	0.00187729952882929	0.00236434944390665	0.00513732642652505	0.0020054918703685	0.00466307842589549	0.000796403438087234	0.000607218672423157
T.G.in.TTT	0.0155874727511381	0.00608882257145569	0.00570477179042079	0.09790067049469	0.00569184449259471	0.00585381478489734	0.00676860706145087	0.00849555779721514	0.000765166306716958	0.000796021242167499
